instance_type,cost_per_hr,cpu_ct,ram_size_gb,storage_type,network_throughput
a1.medium,$0.0321,1,2 GiB,EBS Only,Up to 10 Gigabit
a1.large,$0.0642,2,4 GiB,EBS Only,Up to 10 Gigabit
a1.xlarge,$0.1284,4,8 GiB,EBS Only,Up to 10 Gigabit
a1.2xlarge,$0.2568,8,16 GiB,EBS Only,Up to 10 Gigabit
a1.4xlarge,$0.5136,16,32 GiB,EBS Only,Up to 10 Gigabit
a1.metal,$0.514,16,32 GiB,EBS Only,Up to 10 Gigabit
t4g.nano,$0.0054,2,0.5 GiB,EBS Only,Up to 5 Gigabit
t4g.micro,$0.0108,2,1 GiB,EBS Only,Up to 5 Gigabit
t4g.small,$0.0216,2,2 GiB,EBS Only,Up to 5 Gigabit
t4g.medium,$0.0432,2,4 GiB,EBS Only,Up to 5 Gigabit
t4g.large,$0.0864,2,8 GiB,EBS Only,Up to 5 Gigabit
t4g.xlarge,$0.1728,4,16 GiB,EBS Only,Up to 5 Gigabit
t4g.2xlarge,$0.3456,8,32 GiB,EBS Only,Up to 5 Gigabit
t3.nano,$0.0068,2,0.5 GiB,EBS Only,Up to 5 Gigabit
t3.micro,$0.0136,2,1 GiB,EBS Only,Up to 5 Gigabit
t3.small,$0.0272,2,2 GiB,EBS Only,Up to 5 Gigabit
t3.medium,$0.0544,2,4 GiB,EBS Only,Up to 5 Gigabit
t3.large,$0.1088,2,8 GiB,EBS Only,Up to 5 Gigabit
t3.xlarge,$0.2176,4,16 GiB,EBS Only,Up to 5 Gigabit
t3.2xlarge,$0.4352,8,32 GiB,EBS Only,Up to 5 Gigabit
a1.medium,$0.0321,1,2 GiB,EBS Only,Up to 10 Gigabit
a1.large,$0.0642,2,4 GiB,EBS Only,Up to 10 Gigabit
a1.xlarge,$0.1284,4,8 GiB,EBS Only,Up to 10 Gigabit
a1.2xlarge,$0.2568,8,16 GiB,EBS Only,Up to 10 Gigabit
a1.4xlarge,$0.5136,16,32 GiB,EBS Only,Up to 10 Gigabit
a1.metal,$0.514,16,32 GiB,EBS Only,Up to 10 Gigabit
t4g.nano,$0.0054,2,0.5 GiB,EBS Only,Up to 5 Gigabit
t4g.micro,$0.0108,2,1 GiB,EBS Only,Up to 5 Gigabit
t4g.small,$0.0216,2,2 GiB,EBS Only,Up to 5 Gigabit
t4g.medium,$0.0432,2,4 GiB,EBS Only,Up to 5 Gigabit
t4g.large,$0.0864,2,8 GiB,EBS Only,Up to 5 Gigabit
t4g.xlarge,$0.1728,4,16 GiB,EBS Only,Up to 5 Gigabit
t4g.2xlarge,$0.3456,8,32 GiB,EBS Only,Up to 5 Gigabit
t3.nano,$0.0068,2,0.5 GiB,EBS Only,Up to 5 Gigabit
t3.micro,$0.0136,2,1 GiB,EBS Only,Up to 5 Gigabit
t3.small,$0.0272,2,2 GiB,EBS Only,Up to 5 Gigabit
t3.medium,$0.0544,2,4 GiB,EBS Only,Up to 5 Gigabit
t3.large,$0.1088,2,8 GiB,EBS Only,Up to 5 Gigabit
t3.xlarge,$0.2176,4,16 GiB,EBS Only,Up to 5 Gigabit
